dtime,open,high,low,close
2019-12-11 16:29:00+00:00,108.645,108.648,108.637,108.642
2019-12-11 16:30:00+00:00,108.644,108.644,108.642,108.642
2019-12-11 16:31:00+00:00,108.644,108.647,108.640,108.647
2019-12-11 16:32:00+00:00,108.645,108.647,108.642,108.642
2019-12-11 16:33:00+00:00,108.644,108.654,108.642,108.651
2019-12-11 16:34:00+00:00,108.648,108.648,108.640,108.648
2019-12-11 16:35:00+00:00,108.646,108.660,108.646,108.660
2019-12-11 16:36:00+00:00,108.663,108.670,108.663,108.668
2019-12-11 16:37:00+00:00,108.666,108.668,108.666,108.666
2019-12-11 16:38:00+00:00,108.668,108.674,108.668,108.674
2019-12-11 16:39:00+00:00,108.670,108.678,108.670,108.675
2019-12-11 16:40:00+00:00,108.677,108.678,108.675,108.678
2019-12-11 16:41:00+00:00,108.676,108.676,108.676,108.676
2019-12-11 16:42:00+00:00,108.678,108.678,108.678,108.678
2019-12-11 16:43:00+00:00,108.676,108.676,108.676,108.676
2019-12-11 16:44:00+00:00,108.673,108.680,108.670,108.680
2019-12-11 16:45:00+00:00,108.678,108.680,108.678,108.680
2019-12-11 16:46:00+00:00,108.682,108.685,108.678,108.678
2019-12-11 16:47:00+00:00,108.680,108.682,108.678,108.678
2019-12-11 16:48:00+00:00,108.676,108.676,108.676,108.676
2019-12-11 16:49:00+00:00,108.678,108.678,108.676,108.676
2019-12-11 16:50:00+00:00,108.673,108.673,108.673,108.673
2019-12-11 16:51:00+00:00,108.670,108.670,108.666,108.666
2019-12-11 16:52:00+00:00,108.668,108.668,108.666,108.668
2019-12-11 16:53:00+00:00,108.666,108.666,108.664,108.664
2019-12-11 16:54:00+00:00,108.660,108.668,108.660,108.668
2019-12-11 16:55:00+00:00,108.665,108.672,108.665,108.672
2019-12-11 16:56:00+00:00,108.674,108.674,108.672,108.674
2019-12-11 16:57:00+00:00,108.676,108.686,108.676,108.686
2019-12-11 16:58:00+00:00,108.689,108.689,108.672,108.672
2019-12-11 16:59:00+00:00,108.670,108.676,108.670,108.676
2019-12-11 17:00:00+00:00,108.673,108.679,108.669,108.679
2019-12-11 17:01:00+00:00,108.676,108.676,108.676,108.676
2019-12-11 17:02:00+00:00,108.679,108.679,108.668,108.668
2019-12-11 17:04:00+00:00,108.666,108.666,108.661,108.661
2019-12-11 17:05:00+00:00,108.658,108.662,108.656,108.662
2019-12-11 17:06:00+00:00,108.664,108.664,108.658,108.658
2019-12-11 17:07:00+00:00,108.655,108.655,108.655,108.655
2019-12-11 17:08:00+00:00,108.657,108.657,108.657,108.657
2019-12-11 17:09:00+00:00,108.660,108.660,108.655,108.655
2019-12-11 17:10:00+00:00,108.652,108.660,108.652,108.658
2019-12-11 17:11:00+00:00,108.655,108.658,108.653,108.654
2019-12-11 17:12:00+00:00,108.652,108.654,108.652,108.654
2019-12-11 17:13:00+00:00,108.652,108.652,108.649,108.649
2019-12-11 17:14:00+00:00,108.652,108.658,108.649,108.658
2019-12-11 17:15:00+00:00,108.656,108.661,108.656,108.661
2019-12-11 17:17:00+00:00,108.664,108.672,108.664,108.666
2019-12-11 17:18:00+00:00,108.664,108.667,108.664,108.667
2019-12-11 17:19:00+00:00,108.670,108.670,108.670,108.670
2019-12-11 17:24:00+00:00,108.672,108.672,108.670,108.670
2019-12-11 17:25:00+00:00,108.672,108.674,108.672,108.672
2019-12-11 17:26:00+00:00,108.669,108.669,108.669,108.669
2019-12-11 17:27:00+00:00,108.666,108.666,108.664,108.664
2019-12-11 17:28:00+00:00,108.661,108.661,108.661,108.661
2019-12-11 17:30:00+00:00,108.658,108.661,108.658,108.658
2019-12-11 17:31:00+00:00,108.661,108.661,108.661,108.661
2019-12-11 17:32:00+00:00,108.663,108.663,108.663,108.663
2019-12-11 17:33:00+00:00,108.666,108.666,108.663,108.666
2019-12-11 17:34:00+00:00,108.668,108.674,108.668,108.674
2019-12-11 17:35:00+00:00,108.676,108.676,108.676,108.676
2019-12-11 17:36:00+00:00,108.674,108.676,108.671,108.676
2019-12-11 17:37:00+00:00,108.678,108.678,108.676,108.676
2019-12-11 17:38:00+00:00,108.679,108.682,108.676,108.682
2019-12-11 17:39:00+00:00,108.679,108.681,108.677,108.681
2019-12-11 17:40:00+00:00,108.684,108.686,108.682,108.686
2019-12-11 17:42:00+00:00,108.684,108.684,108.681,108.681
2019-12-11 17:43:00+00:00,108.678,108.678,108.666,108.666
2019-12-11 17:44:00+00:00,108.664,108.664,108.658,108.663
2019-12-11 17:45:00+00:00,108.665,108.665,108.660,108.662
2019-12-11 17:46:00+00:00,108.660,108.662,108.660,108.662
2019-12-11 17:47:00+00:00,108.664,108.669,108.662,108.662
2019-12-11 17:48:00+00:00,108.664,108.664,108.656,108.656
2019-12-11 17:49:00+00:00,108.654,108.654,108.651,108.651
2019-12-11 17:50:00+00:00,108.653,108.661,108.653,108.659
2019-12-11 17:51:00+00:00,108.657,108.662,108.657,108.658
2019-12-11 17:52:00+00:00,108.660,108.660,108.658,108.660
2019-12-11 17:53:00+00:00,108.658,108.662,108.658,108.662
2019-12-11 17:54:00+00:00,108.664,108.664,108.662,108.664
2019-12-11 17:55:00+00:00,108.667,108.676,108.667,108.676
2019-12-11 17:56:00+00:00,108.678,108.684,108.678,108.682
2019-12-11 17:57:00+00:00,108.684,108.684,108.684,108.684
2019-12-11 17:58:00+00:00,108.686,108.702,108.686,108.700
2019-12-11 17:59:00+00:00,108.698,108.700,108.690,108.692
2019-12-11 18:00:00+00:00,108.690,108.690,108.685,108.687
2019-12-11 18:01:00+00:00,108.690,108.692,108.687,108.687
2019-12-11 18:02:00+00:00,108.690,108.694,108.690,108.692
2019-12-11 18:03:00+00:00,108.694,108.694,108.690,108.690
2019-12-11 18:04:00+00:00,108.692,108.692,108.688,108.688
2019-12-11 18:05:00+00:00,108.690,108.692,108.690,108.690
2019-12-11 18:06:00+00:00,108.692,108.697,108.690,108.692
2019-12-11 18:07:00+00:00,108.694,108.700,108.694,108.700
2019-12-11 18:08:00+00:00,108.698,108.698,108.695,108.698
2019-12-11 18:09:00+00:00,108.695,108.695,108.695,108.695
2019-12-11 18:10:00+00:00,108.692,108.692,108.688,108.692
2019-12-11 18:12:00+00:00,108.695,108.700,108.695,108.695
2019-12-11 18:13:00+00:00,108.698,108.698,108.698,108.698
2019-12-11 18:14:00+00:00,108.695,108.697,108.692,108.697
